"Campaign name",Day,Reach,Impressions,Currency,"Amount spent (USD)","Link clicks","CTR (all)","CPM (cost per 1,000 impressions)","Reporting starts","Reporting ends"
,,2733297,3814359,USD,16548.09,90462,3.31995494,4.33836721,2025-05-19,2025-07-03
SOWL_W2W_WW-en_PURCH_IK_010725_255453950838802_AAA,2025-07-03,67960,67960,USD,145.28,1137,2.29105356,2.13772808,2025-07-03,2025-07-03
SOWL_W2W_WW-en_PURCH_NC_020725_291317110545925_trauma,2025-07-03,7126,7531,USD,39.51,87,1.47390785,5.24631523,2025-07-03,2025-07-03
SOWL_W2W_WW-en_PURCH_NC_020725_291317110545925,2025-07-03,7169,8386,USD,38.48,128,1.76484617,4.58860005,2025-07-03,2025-07-03
CH_IOS_W2A_WW-en_PURCH_NC_250625_120226051910740788_AAA,2025-07-03,6680,7651,USD,119.81,477,8.53483205,15.65939093,2025-07-03,2025-07-03
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-07-03,42584,44671,USD,127.33,680,2.2363502,2.85039511,2025-07-03,2025-07-03
SOWL_W2W_WW-en_PURCH_IK_010725_255453950838802_AAA,2025-07-02,133837,143666,USD,329.75,2303,2.09652945,2.29525427,2025-07-02,2025-07-02
CH_IOS_W2A_WW-en_PURCH_NC_250625_120226051910740788_AAA,2025-07-02,10559,12722,USD,244.28,832,9.80977834,19.20138343,2025-07-02,2025-07-02
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-07-02,119038,121466,USD,379.39,2090,2.15615893,3.12342549,2025-07-02,2025-07-02
CH_IOS_W2A_WW-en_PURCH_NC_250625_120226051910740788_AAA,2025-07-01,3190,3758,USD,59.68,297,9.36668441,15.88078765,2025-07-01,2025-07-01
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-07-01,125478,131634,USD,361.14,2301,2.24410107,2.74351611,2025-07-01,2025-07-01
"SOWL_W2W_WW-en_PURCH_NC_010725_ 120226393050650788_AAA",2025-07-01,489,500,USD,1.06,10,2.4,2.12,2025-07-01,2025-07-01
SOWL_W2W_WW-en_PURCH_IK_010725_255453950838802_AAA,2025-07-01,44359,46432,USD,100.49,694,1.8220193,2.16424018,2025-07-01,2025-07-01
CH_IOS_W2A_WW-en_PURCH_NC_250625_120226051910740788_AAA,2025-06-30,7808,9762,USD,146.9,654,8.58430649,15.04814587,2025-06-30,2025-06-30
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-30,121316,129153,USD,363.2,2334,2.52258949,2.81216851,2025-06-30,2025-06-30
CH_IOS_W2A_WW-en_PURCH_NC_250625_120226051910740788_AAA,2025-06-29,11261,13532,USD,201.76,971,8.81613952,14.90984333,2025-06-29,2025-06-29
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-29,123580,131278,USD,384.34,2473,2.62191685,2.92768019,2025-06-29,2025-06-29
CH_IOS_W2A_WW-en_PURCH_NC_250625_120226051910740788_AAA,2025-06-28,13471,16292,USD,204.01,1115,7.9732384,12.52209673,2025-06-28,2025-06-28
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-28,114534,118123,USD,340.72,2166,2.33062147,2.88445095,2025-06-28,2025-06-28
CH_IOS_W2A_WW-en_PURCH_NC_250625_120226051910740788_AAA,2025-06-27,13740,17043,USD,194.38,1349,9.00076278,11.40526903,2025-06-27,2025-06-27
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-27,120172,123716,USD,357.35,2489,2.48472308,2.88847037,2025-06-27,2025-06-27
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-26,108441,110860,USD,323.06,1932,2.19646401,2.91412592,2025-06-26,2025-06-26
CH_IOS_W2A_WW-en_PURCH_NC_250625_120226051910740788_AAA,2025-06-26,13609,16092,USD,203.19,1122,8.37061894,12.62677107,2025-06-26,2025-06-26
CH_IOS_W2A_WW-en_PURCH_NC_250625_120226051910740788_AAA,2025-06-25,6029,6577,USD,95.3,470,8.74258781,14.48988901,2025-06-25,2025-06-25
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-25,117905,118576,USD,354.19,2357,2.46508568,2.98702942,2025-06-25,2025-06-25
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-24,104461,110064,USD,325.95,2184,2.45402675,2.96145879,2025-06-24,2025-06-24
SOWL_W2W_WW-ES_PURCH_NC_20.06.25_AAA,2025-06-23,12572,13319,USD,83.4,554,4.39222164,6.26173136,2025-06-23,2025-06-23
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-23,120212,123062,USD,352.62,2376,2.54262079,2.86538493,2025-06-23,2025-06-23
SOWL_W2W_WW-ES_PURCH_NC_20.06.25_AAA,2025-06-22,24568,29083,USD,218.67,1169,4.34962005,7.51882543,2025-06-22,2025-06-22
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-22,150851,152049,USD,395.97,2662,2.30978172,2.60422627,2025-06-22,2025-06-22
SOWL_W2W_WW-ES_PURCH_NC_20.06.25_AAA,2025-06-21,38231,41956,USD,183.86,1334,3.66812852,4.38220993,2025-06-21,2025-06-21
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-21,108636,119106,USD,334.76,2211,2.53639615,2.81060568,2025-06-21,2025-06-21
SOWL_W2W_WW-ES_PURCH_NC_16.06.25_AAA,2025-06-20,57793,62174,USD,104.82,1321,3.34384148,1.68591373,2025-06-20,2025-06-20
SOWL_W2W_WW-ES_PURCH_NC_20.06.25_AAA,2025-06-20,25824,27236,USD,101.77,270,1.36951094,3.73659862,2025-06-20,2025-06-20
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-20,98055,104847,USD,237.15,1742,3.4478812,2.26186729,2025-06-20,2025-06-20
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-19,78152,83692,USD,188.61,1489,2.93934904,2.25362042,2025-06-19,2025-06-19
SOWL_W2W_WW-ES_PURCH_NC_16.06.25_AAA,2025-06-19,65802,66438,USD,203.7,863,1.65718414,3.06601644,2025-06-19,2025-06-19
SOWL_W2W_US-ES_PURCH_NC_16.06.25_AAA,2025-06-18,7117,7337,USD,158.92,103,1.85361865,21.66007905,2025-06-18,2025-06-18
SOWL_W2W_WW-en_PURCH_IK_170625_291317110545925_AAA,2025-06-18,82600,89577,USD,362.12,1883,2.79759313,4.04255557,2025-06-18,2025-06-18
